도로명 주소,지번 주소,위도,경도,주택유형구분,세대수(객실수),건축연도
전북특별자치도 전주시 완산구 자만동3길 10,전북특별자치도 전주시 완산구 교동 54-22,35.81456688,127.1562281,단독주택,2,1948-04-18
전북특별자치도 전주시 완산구 태진로 4,전북특별자치도 전주시 완산구 태평동 83-36,35.82133717,127.1379441,"단독주택,제1종근린생활시설",2,1969-11-04
전북특별자치도 전주시 덕진구 모래내5길 14,전북특별자치도 전주시 덕진구 인후동2가 236-97,35.83375635,127.1444501,"주택, 소매점, 화장실",4,1972-07-20
전북특별자치도 전주시 완산구 인봉1길 13-14,전북특별자치도 전주시 완산구 중노송동 253-102,35.8249797,127.1547474,"주택, 물치",2,1973-10-10
전북특별자치도 전주시 완산구 경기전길 10-10,전북특별자치도 전주시 완산구 경원동2가 2-3,35.81893638,127.1496292,단독주택,4,1976-05-19
전북특별자치도 전주시 덕진구 건산로 122,전북특별자치도 전주시 덕진구 인후동1가 655-6,35.83290446,127.1504938,"단독주택, 제1종근린생활시설",2,1976-06-28
전북특별자치도 전주시 덕진구 건산로 122,전북특별자치도 전주시 덕진구 인후동1가 655-6,35.83290446,127.1504938,단독주택,2,1976-06-28
전북특별자치도 전주시 덕진구 태진로 133-2,전북특별자치도 전주시 덕진구 금암동 456-6,35.83287967,127.1351027,단독주택(다가구주택),10,1978-08-10
전북특별자치도 전주시 덕진구 들사평3길 21,전북특별자치도 전주시 덕진구 덕진동1가 1269-4,35.84026499,127.1234034,"제1종근린생활시설, 단독주택(12가구)",12,1978-11-12
전북특별자치도 전주시 덕진구 솔내7길 5-1,전북특별자치도 전주시 덕진구 송천동1가 120-2,35.86003377,127.1218943,"주택, 단독주택(2가구), 변소, 창고",2,1978-12-26
전북특별자치도 전주시 덕진구 송천로 54-13,전북특별자치도 전주시 덕진구 송천동1가 416-8,35.85853167,127.1186309,단독주택,2,1979-02-06
전북특별자치도 전주시 덕진구 반촌4길 9,전북특별자치도 전주시 덕진구 진북동 322-303,35.83009398,127.1443143,단독주택(다가구주택),2,1979-02-15
전북특별자치도 전주시 완산구 매곡로 29,전북특별자치도 전주시 완산구 동완산동 402,35.80909777,127.1446231,"단독주택,제1종근린생활시설",5,1979-09-30
전북특별자치도 전주시 완산구 꽃밭정로 29-3,전북특별자치도 전주시 완산구 평화동1가 590-11,35.79765599,127.1356401,"주택, 변소, 창고",2,1979-10-16
전북특별자치도 전주시 덕진구 건산2길 18-4,전북특별자치도 전주시 덕진구 진북동 340-22,35.83189802,127.1418236,단독주택(다가구주택),2,1979-10-18
전북특별자치도 전주시 덕진구 하가3길 14-3,전북특별자치도 전주시 덕진구 덕진동2가 111-12,35.84796915,127.1135822,"주택, 창고",4,1979-10-24
전북특별자치도 전주시 덕진구 솔내1길 9-6,전북특별자치도 전주시 덕진구 송천동1가 262-8,35.85259649,127.1207674,단독주택,2,1979-10-25
전북특별자치도 전주시 덕진구 거북바우3길 29-4,전북특별자치도 전주시 덕진구 금암동 525-109,35.83656176,127.1389688,"주택, 변소, 창고",3,1979-10-27
전북특별자치도 전주시 덕진구 금암4길 23-2,전북특별자치도 전주시 덕진구 금암동 1557-13,35.83912544,127.1374348,"주택, 변소, 창고",3,1979-10-29
전북특별자치도 전주시 덕진구 건지3길 13,전북특별자치도 전주시 덕진구 금암동 1596-8,35.84527378,127.1438541,단독주택,2,1980-02-29
전북특별자치도 전주시 덕진구 덕진연못3길 8-8,전북특별자치도 전주시 덕진구 덕진동1가 1342-16,35.84620264,127.1213688,"단독주택, 위락시설",19,1980-04-23
전북특별자치도 전주시 덕진구 태진로 137-8,전북특별자치도 전주시 덕진구 금암동 457-16,35.83334961,127.1345933,"근린생활시설, 단독주택(다가구주택)",16,1980-09-15
전북특별자치도 전주시 덕진구 덕진연못1길 17-18,전북특별자치도 전주시 덕진구 덕진동1가 1314-84,35.84591119,127.1234847,단독주택(4가구),4,1981-01-26
전북특별자치도 전주시 덕진구 백동3길 5-18,전북특별자치도 전주시 덕진구 인후동2가 1563-16,35.84776199,127.1474819,주택,3,1981-01-30
전북특별자치도 전주시 덕진구 건지1길 12-1,전북특별자치도 전주시 덕진구 금암동 1592-2,35.84412898,127.1399808,"주택, 변소, 창고",4,1981-10-07
전북특별자치도 전주시 완산구 감나무4길 21-32,전북특별자치도 전주시 완산구 서신동 233-70,35.83093186,127.1199946,"주택, 변소, 창고",2,1982-01-28
전북특별자치도 전주시 덕진구 백동5길 26,전북특별자치도 전주시 덕진구 인후동2가 1568-1,35.84828821,127.1499028,단독주택,2,1982-02-13
전북특별자치도 전주시 덕진구 명주6길 20-2,전북특별자치도 전주시 덕진구 인후동2가 1576-29,35.8446636,127.152077,"소매점, 주택",3,1982-04-09
전북특별자치도 전주시 완산구 안행5길 37-40,전북특별자치도 전주시 완산구 효자동1가 114-27,35.80399974,127.1300623,단독주택,4,1982-09-24
전북특별자치도 전주시 덕진구 백제대로 627-9,전북특별자치도 전주시 덕진구 금암동 1547-4,35.84278057,127.1375998,단독주택,2,1982-09-29
전북특별자치도 전주시 완산구 전룡6길 32,전북특별자치도 전주시 완산구 서신동 292-35,35.82794201,127.1217973,"제1종근린생활시설, 다가구주택, 제2종근린생활시설",9,1983-01-20
전북특별자치도 전주시 덕진구 들사평3길 22-5,전북특별자치도 전주시 덕진구 덕진동1가 1411-21,35.83996699,127.1230066,단독주택(다가구주택-2가구),2,1983-05-31
전북특별자치도 전주시 덕진구 매봉6길 10-7,전북특별자치도 전주시 덕진구 금암동 1587-93,35.84124222,127.1397041,단독주택(5가구),5,1983-10-14
전북특별자치도 전주시 덕진구 거북바우로 33,전북특별자치도 전주시 덕진구 금암동 1573-15,35.83759583,127.1415428,"주택, 근린생활시설(소매점)",2,1983-11-08
전북특별자치도 전주시 덕진구 명주6길 31-4,전북특별자치도 전주시 덕진구 우아동3가 749-71,35.84402655,127.1531709,"점포, 단독주택(2가구), 제2종근린생활시설, 창고, 화장실",2,1983-11-28
전북특별자치도 전주시 덕진구 도당산4길 53-13,전북특별자치도 전주시 덕진구 우아동3가 750-65,35.8455675,127.1561263,"주택, 단독주택(2가구), 점포, 창고",2,1983-12-30
전북특별자치도 전주시 덕진구 명주5길 26-12,전북특별자치도 전주시 덕진구 인후동2가 1552-28,35.84367024,127.150643,단독주택(2가구),2,1984-06-18
전북특별자치도 전주시 덕진구 팔복5길 17,전북특별자치도 전주시 덕진구 팔복동2가 246-6,35.85210295,127.1046368,단독주택(4가구),4,1984-08-11
전북특별자치도 전주시 덕진구 건지1길 6,전북특별자치도 전주시 덕진구 금암동 1591-16,35.84346459,127.1401219,단독주택(4가구),4,1985-08-20
전북특별자치도 전주시 완산구 오두정1길 21-3,전북특별자치도 전주시 완산구 효자동1가 289-33,35.80708264,127.1175996,주택,3,1986-03-10
전북특별자치도 전주시 완산구 송정3길 7-8,전북특별자치도 전주시 완산구 삼천동1가 578-18,35.80057405,127.1195436,"단독주택,제1종근린생활시설",2,1986-08-19
