지역,시군구,연간 쓰레기 배출량,인구수,세대수
서울,종로구,"95,355.20","152,211.00","72,524"
서울,중구,"95,998.10","130,785.00","63,139"
서울,용산구,"87,049.00","233,284.00","109,805"
서울,성동구,"89,652.90","288,234.00","133,305"
서울,광진구,"80,103.20","351,252.00","169,291"
서울,동대문구,"102,068.20","353,601.00","169,873"
서울,중랑구,"99,868.50","390,140.00","187,413"
서울,성북구,"110,262.60","441,984.00","197,082"
서울,강북구,"80,021.80","297,702.00","144,313"
서울,도봉구,"79,944.90","313,989.00","138,356"
서울,노원구,"131,701.80","508,014.00","217,540"
서울,은평구,"110,580.70","470,602.00","213,876"
서울,서대문구,"92,123.00","319,554.00","145,797"
서울,마포구,"131,590.80","375,585.00","180,084"
서울,양천구,"113,123.70","444,010.00","181,187"
서울,강서구,"151,254.70","574,638.00","273,697"
서울,구로구,"108,298.90","418,418.00","183,655"
서울,금천구,"71,563.90","242,818.00","119,583"
서울,영등포구,"138,310.70","398,085.00","188,832"
서울,동작구,"105,818.50","390,432.00","185,773"
서울,관악구,"133,347.50","501,226.00","283,623"
서울,서초구,"154,858.00","408,451.00","167,749"
서울,강남구,"242,630.00","534,103.00","232,777"
서울,송파구,"179,381.90","664,514.00","284,853"
서울,강동구,"120,664.40","464,037.00","202,169"
부산,중구,"24,571.90","41,671.00","23,960"
부산,서구,"23,870.20","107,175.00","53,626"
부산,동구,"25,524.10","88,077.00","46,349"
부산,영도구,"26,460.60","109,989.00","54,342"
부산,부산진구,"95,117.50","358,201.00","178,049"
부산,동래구,"68,452.30","274,141.00","119,503"
부산,남구,"59,659.80","261,871.00","117,601"
부산,북구,"64,283.50","280,661.00","123,569"
부산,해운대구,"95,587.20","390,488.00","170,435"
부산,사하구,"75,046.50","305,823.00","140,778"
부산,금정구,"58,728.10","225,418.00","106,950"
부산,강서구,"48,372.90","147,929.00","62,426"
부산,연제구,"56,320.50","204,258.00","93,557"
부산,수영구,"43,167.90","176,191.00","87,361"
부산,사상구,"49,334.10","208,166.00","98,625"
부산,기장군,"56,336.60","180,616.00","78,736"
대구,중구,"38,439.80","80,965.00","40,749"
대구,동구,"102,170.90","341,326.00","159,422"
대구,서구,"52,494.00","161,935.00","81,116"
대구,남구,"44,724.80","143,474.00","76,401"
대구,북구,"135,491.80","436,173.00","192,697"
대구,수성구,"131,822.20","413,211.00","171,480"
대구,달서구,"175,696.50","547,387.00","235,883"
대구,달성군,"84,878.60","268,788.00","113,125"
인천,중구,"68,119.50","157,050.00","75,960"
인천,동구,"18,150.30","59,889.00","27,618"
인천,미추홀구,"112,916.60","416,412.00","194,841"
인천,연수구,"117,570.50","400,052.00","156,047"
인천,남동구,"151,208.80","517,473.00","226,763"
인천,부평구,"129,383.30","503,419.00","217,924"
