구분,인구수,세대수
중앙동,9646,4885
풍남동,3549,2242
노송동,10362,5456
완산동,4881,2594
동서학동,5823,3113
서서학동,7916,4306
중화산1동,13510,6330
중화산2동,18950,9204
서신동,38869,17539
평화1동,11847,7009
평화2동,43236,18596
삼천1동,11582,5336
삼천2동,12294,6038
삼천3동,20663,9155
효자1동,12809,5881
효자2동,9115,4453
효자3동,13835,5970
효자4동,38595,16731
효자5동,36079,18556
진북동,12531,6522
인후1동,17185,7423
인후2동,10241,5707
인후3동,30137,14449
덕진동,20643,10992
금암1동,8041,5834
금암2동,9449,5175
팔복동,7354,4506
우아1동,11939,5933
우아2동,13795,7669
호성동,18593,7887
송천1동,64691,24347
송천2동,26465,11126
조촌동,12032,6263
여의동,15887,7125
혁신동,35931,13029
