구별,위반일자,위반시간,위반장소,위반내용
덕진구,2023-02-28,14:15:00,덕진구 금암5길 34 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-28,17:10:00,덕진구 금상동 1276-7,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-27,18:15:00,덕진구 용정동 431-3,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-26,14:02:00,덕진구 인후동1가 산 4-26 방면 도로,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-25,22:56:00,덕진구 상리4길 16,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-02-23,14:55:00,덕진구 금상동 1276-7,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-02-23,22:30:00,덕진구 금암5길 34 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-22,17:30:00,덕진구 금암2길 7 앞 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-22,,완산구 중인1길 76 중인초 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-22,,완산구 삼천육교 부근,분리배출위반
완산구,2023-02-22,,완산구 중인1길 76 중인초 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-02-21,,덕진구 인후동1가 967,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-21,,덕진구 인후동1가 1007,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-21,,완산구 거마공원 주차장 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-21,,완산구 중인1길 76 중인초 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-21,,완산구 중인1길 76 중인초 부근,분리배출위반
덕진구,2023-02-20,18:50:00,덕진구 상리1길 34 울타리 인도변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-20,,완산구 거마공원 주차장 부근,분리배출위반
완산구,2023-02-20,,완산구 서신동 924-7 부근,쓰레기혼합배출
완산구,2023-02-20,,완산구 서신동 866 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-20,,완산구 삼천동1가 709 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-18,,완산구 효자동3가 1830 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-17,14:20:00,덕진구 금암2길 7 앞 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-17,,완산구 안행2길 11 부근,쓰레기혼합배출
완산구,2023-02-17,,완산구 백제대로 33 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-16,,완산구 서신동 1003-2 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-15,14:59:00,덕진구 우아동2가 964,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-15,17:15:00,덕진구 건지4길 10 앞 도로,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-15,17:38:00,덕진구 건지4길 10 앞 도로,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-15,,덕진구 송천동2가 190-11,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-15,,완산구 신봉1길 14 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-15,,완산구 중화산동2가 715 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-15,,완산구 중인1길 193 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-15,,완산구 메너머2길 29-14 부근,분리배출위반
완산구,2023-02-15,,완산구 인정공원 부근,분리배출위반
덕진구,2023-02-14,14:20:00,덕진구 금암4길 14-10 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-14,,완산구 중인1길 76 중인초 부근,분리배출위반
완산구,2023-02-14,,완산구 중인1길 193 부근,분리배출위반
완산구,2023-02-14,,완산구 중인1길 76 중인초 부근,분리배출위반
덕진구,2023-02-13,07:57:00,덕진구 만성동 141-17 앞 도로,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-13,,완산구 고사평5길 24-10 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-13,,완산구 전주천서로 181 부근,분리배출위반
완산구,2023-02-11,,완산구 효자동1가 531 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-11,,완산구 서신동 878 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-09,,완산구 거마공원 주차장 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-09,,완산구 중화산동2가 577 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-09,,완산구 인정공원 앞 부근,분리배출위반
완산구,2023-02-09,,완산구 관선2길 24-3 부근,쓰레기혼합배출
완산구,2023-02-09,,완산구 인정공원 입구 앞 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2023-02-08,,완산구 거마공원 주차장 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2023-02-08,,완산구 서서학동 194-2 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-07,20:10:00,덕진구 금암4길 14-10 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-07,21:10:00,덕진구 금암4길 14-10 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-07,21:45:00,덕진구 금암4길 14-10 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-07,22:10:00,덕진구 금암4길 14-10 앞 도로변 쓰레기적치장,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-02-07,,완산구 구이로 1868 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-07,,완산구 충경로 18-3 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-07,,완산구 용머리로 174 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-02-07,,완산구 석구길 13 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2023-02-06,08:44:00,덕진구 여의동 852 도로,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-02-06,15:00:00,덕진구 신성길 90-64,생활폐기물 소각
덕진구,2023-02-06,17:10:00,덕진구 진북동 363-24,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-02-06,18:24:00,덕진구 팔복동2가 268-9,간이보관기구(비닐봉지) 이용 폐기물 투기
