Name,Region_1depth_Name,Region_2depth_Name,Region_3depth_Name,Category,Latitude,Longitude
참소박사정육식당,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 육류,고기",35.87464288,127.0706286
교촌치킨 동산조촌점,전북특별자치도,전주시 덕진구,반월동,음식점 > 치킨 > 교촌치킨,35.87556254,127.0759093
목초마을한우돼야지,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 육류,고기",35.87417882,127.0734995
국시카페,전북특별자치도,전주시 덕진구,고랑동,음식점 > 한식 > 국수,35.87701396,127.0780922
뽀대갈비,전북특별자치도,전주시 덕진구,여의동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.87156473,127.0784844
바다사자1983,전북특별자치도,전주시 덕진구,반월동,음식점 > 한식,35.88529186,127.0768422
낙원떡볶이,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 분식 > 떡볶이,35.87314272,127.0813595
서가낙지 여의반월점,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 해물,생선",35.87301093,127.0747442
갑부도시락 전주점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 도시락 > 배달도시락,35.87364994,127.0761378
이것이김밥이다,전북특별자치도,전주시 덕진구,반월동,음식점 > 분식,35.87336759,127.0751254
전주동산촌식당,전북특별자치도,전주시 덕진구,고랑동,음식점 > 한식 > 국수,35.8749509,127.084876
부송국수 전주동산점,전북특별자치도,전주시 덕진구,고랑동,음식점 > 한식 > 국수,35.87702126,127.0779593
가막골칡냉면 동산점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 한식 > 냉면,35.87257102,127.0804708
다사랑치킨피자 전주동산점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 치킨 > 다사랑치킨,35.87186512,127.0794492
후켄 반월동산점,전북특별자치도,전주시 덕진구,반월동,음식점 > 치킨,35.8737438,127.0730197
신청강중화요리,전북특별자치도,전주시 덕진구,반월동,음식점 > 중식 > 중국요리,35.87462351,127.0713849
김돈이 반월점,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 육류,고기",35.87363533,127.0735577
60계치킨 전북전주여의반월점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 치킨 > 60계,35.87213524,127.0798348
소문마라탕 본점,전북특별자치도,전주시 덕진구,반월동,음식점 > 중식,35.8734799,127.0742175
BBQ 전주동산점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 치킨 > BBQ,35.87312698,127.0806452
한마음정육식당 전주반월점,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 육류,고기 > 한마음정육식당",35.87445603,127.0726272
진성쟁반짜장,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 중식 > 중국요리,35.87339543,127.0821548
한솔본가,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 한식,35.87153294,127.0802306
오동태마을 반월점,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 해물,생선",35.8737472,127.0733696
회도리수산,전북특별자치도,전주시 덕진구,여의동2가,"음식점 > 한식 > 해물,생선 > 회",35.87314721,127.0813794
여의동칼국수,전북특별자치도,전주시 덕진구,반월동,음식점 > 한식 > 국수,35.87361238,127.0756838
뼈감집,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 한식 > 감자탕,35.871495,127.0790003
태정기사식당,전북특별자치도,전주시 덕진구,고랑동,음식점 > 기사식당,35.87667279,127.0815557
우가양평해장국 전주동산점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 한식 > 해장국 > 우가양평해장국,35.87116507,127.0777266
BHC치킨 전주동산반월점,전북특별자치도,전주시 덕진구,반월동,음식점 > 치킨 > BHC치킨,35.87455463,127.0720271
대동국수 동산점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 한식 > 국수,35.87186871,127.0794691
회마루,전북특별자치도,전주시 덕진구,여의동2가,"음식점 > 한식 > 해물,생선 > 회",35.87267096,127.0806226
맥시칸치킨 반월점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 치킨 > 맥시칸치킨,35.87419968,127.0761826
쟈네뜨 동산점,전북특별자치도,전주시 덕진구,여의동2가,"음식점 > 술집 > 호프,요리주점",35.87308547,127.0807238
이삭토스트 전주반월점,전북특별자치도,전주시 덕진구,반월동,음식점 > 간식 > 토스트,35.87415869,127.0725084
자매뚝배기,전북특별자치도,전주시 덕진구,반월동,음식점 > 한식,35.87445783,127.0726283
굽네치킨 여의반월점,전북특별자치도,전주시 덕진구,반월동,음식점 > 치킨 > 굽네치킨,35.8739232,127.0744084
백세족발,전북특별자치도,전주시 덕진구,반월동,"음식점 > 한식 > 육류,고기 > 족발,보쌈",35.87337211,127.0751011
중화루,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 중식 > 중국요리,35.87284228,127.0804932
두리둥둥,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 한식,35.8726286,127.080617
아구세상 여의점,전북특별자치도,전주시 덕진구,여의동2가,"음식점 > 한식 > 해물,생선 > 아구",35.8711632,127.0778296
오남매백반,전북특별자치도,전주시 덕진구,고랑동,음식점 > 한식,35.87714033,127.0777945
깻잎분식 동산점,전북특별자치도,전주시 덕진구,여의동2가,음식점 > 분식,35.87286306,127.0804268
신가네손칼국수,전북특별자치도,전주시 덕진구,고랑동,음식점 > 한식 > 국수 > 칼국수,35.87663259,127.0769125
가장맛있는족발 전주동산반월점,전북특별자치도,전주시 덕진구,여의동2가,"음식점 > 한식 > 육류,고기 > 족발,보쌈 > 가장맛있는족발",35.87166257,127.0790979
불땡고기주는국수집 본점,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 한식 > 국수,35.86188357,127.0862261
육희당,전북특별자치도,전주시 덕진구,팔복동2가,"음식점 > 한식 > 육류,고기",35.86079899,127.0879787
자연머금한식뷔페,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 뷔페 > 한식뷔페,35.86069473,127.0888233
제일문짬뽕,전북특별자치도,전주시 덕진구,팔복동2가,음식점 > 중식 > 중국요리,35.86136725,127.0885628
