행정동,원룸 및 주택 밀집,쓰레기 민원 빈도,연간 쓰레기 배출량 예측 값,세대수,인구수(계),전체 인구 대비 지역 인구 비율
효자5동,1410,60,11904.034,18556,36079,0.5577
서신동,745,55,13698.702,17539,38869,0.6008
효자4동,688,48,13993.824,16731,38595,0.5966
삼천2동,554,29,6984.578,6038,12294,0.19
중화산2동,510,49,8010.363,9204,18950,0.2929
인후3동,502,43,17324.749,14449,30137,0.4659
덕진동,423,59,8402.538,10992,20643,0.3191
우아2동,392,29,7372.691,7669,13795,0.2132
혁신동,348,49,18328.905,13029,35931,0.5554
금암1동,320,89,6984.578,5834,8041,0.1243
평화2동,229,27,14707.287,18596,43236,0.6684
송천1동,214,36,20953.023,24347,64691,1
인후2동,161,37,6984.578,5707,10241,0.1583
우아1동,157,27,6984.578,5933,11939,0.1846
인후1동,143,65,7629.619,7423,17185,0.2657
금암2동,142,30,6984.578,5175,9449,0.1461
중화산1동,129,27,7160.993,6330,13510,0.2088
효자2동,101,26,6984.578,4453,9115,0.1409
노송동,94,22,6984.578,5456,10362,0.1602
팔복동,87,50,6984.578,4506,7354,0.1137
진북동,87,24,6984.578,6522,12531,0.1937
송천2동,79,34,7825.012,11126,26465,0.4091
삼천1동,70,8,6984.578,5336,11582,0.179
평화1동,67,11,6984.578,7009,11847,0.1831
효자3동,51,9,7160.993,5970,13835,0.2139
중앙동,48,16,6984.578,4885,9646,0.1491
완산동,44,11,6984.578,2594,4881,0.0755
효자1동,44,11,7160.993,5881,12809,0.198
삼천3동,39,69,8102.214,9155,20663,0.3194
동서학동,37,7,6984.578,3113,5823,0.09
서서학동,32,4,6984.578,4306,7916,0.1224
풍남동,30,4,6984.578,2242,3549,0.0549
조촌동,20,25,6984.578,6263,12032,0.186
여의동,18,38,7397.578,7125,15887,0.2456
호성동,15,16,7629.619,7887,18593,0.2874
